O09167	Rpl21	Parvulin-associated_pre-rRNP
O43143	DHX15	Parvulin-associated_pre-rRNP
O76021	RSL1D1	Parvulin-associated_pre-rRNP
O95995	GAS8	Parvulin-associated_pre-rRNP
P09405	Ncl	Parvulin-associated_pre-rRNP
P11276	Fn1	Parvulin-associated_pre-rRNP
P12970	Rpl7a	Parvulin-associated_pre-rRNP
P14148	Rpl7	Parvulin-associated_pre-rRNP
P14869	Rplp0	Parvulin-associated_pre-rRNP
P19253	Rpl13a	Parvulin-associated_pre-rRNP
P21127	CDK11B	Parvulin-associated_pre-rRNP
P27635	RPL10	Parvulin-associated_pre-rRNP
P27659	Rpl3	Parvulin-associated_pre-rRNP
P35550	Fbl	Parvulin-associated_pre-rRNP
P35980	Rpl18	Parvulin-associated_pre-rRNP
P46781	RPS9	Parvulin-associated_pre-rRNP
P47911	Rpl6	Parvulin-associated_pre-rRNP
P47962	Rpl5	Parvulin-associated_pre-rRNP
P47963	Rpl13	Parvulin-associated_pre-rRNP
P53569	Cebpz	Parvulin-associated_pre-rRNP
P56183	Rrp1	Parvulin-associated_pre-rRNP
P61255	Rpl26	Parvulin-associated_pre-rRNP
P62242	Rps8	Parvulin-associated_pre-rRNP
P62702	Rps4x	Parvulin-associated_pre-rRNP
P62717	Rpl18a	Parvulin-associated_pre-rRNP
P62754	Rps6	Parvulin-associated_pre-rRNP
P62906	RPL10A	Parvulin-associated_pre-rRNP
P62908	Rps3	Parvulin-associated_pre-rRNP
P62918	Rpl8	Parvulin-associated_pre-rRNP
P68363	TUBA1B	Parvulin-associated_pre-rRNP
P84099	Rpl19	Parvulin-associated_pre-rRNP
P97351	Rps3a	Parvulin-associated_pre-rRNP
P97452	Bop1	Parvulin-associated_pre-rRNP
P99024	Tubb5	Parvulin-associated_pre-rRNP
Q61656	Ddx5	Parvulin-associated_pre-rRNP
Q6DFW4	Nop58	Parvulin-associated_pre-rRNP
Q7TPV4	Mybbp1a	Parvulin-associated_pre-rRNP
Q8K363	Ddx18	Parvulin-associated_pre-rRNP
Q91VE6	Nifk	Parvulin-associated_pre-rRNP
Q921N6	Ddx27	Parvulin-associated_pre-rRNP
Q922K7	Nop2	Parvulin-associated_pre-rRNP
Q99LH1	Gnl2	Parvulin-associated_pre-rRNP
Q99ME9	Gtpbp4	Parvulin-associated_pre-rRNP
Q9BWT6	MND1	Parvulin-associated_pre-rRNP
Q9CR57	Rpl14	Parvulin-associated_pre-rRNP
Q9CYH6	Rrs1	Parvulin-associated_pre-rRNP
Q9CZM2	Rpl15	Parvulin-associated_pre-rRNP
Q9D0I8	Mrto4	Parvulin-associated_pre-rRNP
Q9D0R4	Ddx56	Parvulin-associated_pre-rRNP
Q9D6Z1	Nop56	Parvulin-associated_pre-rRNP
Q9D8E6	Rpl4	Parvulin-associated_pre-rRNP
Q9D8N0	Eef1g	Parvulin-associated_pre-rRNP
Q9D903	Ebna1bp2	Parvulin-associated_pre-rRNP
Q9DBE9	Ftsj3	Parvulin-associated_pre-rRNP
Q9EQ61	Pes1	Parvulin-associated_pre-rRNP
Q9ESV0	Ddx24	Parvulin-associated_pre-rRNP
Q9JIK5	Ddx21	Parvulin-associated_pre-rRNP
Q9JJ80	Rpf2	Parvulin-associated_pre-rRNP
Q9JJA4	Wdr12	Parvulin-associated_pre-rRNP
Q9NW13	RBM28	Parvulin-associated_pre-rRNP
Q9ULW0	TPX2	Parvulin-associated_pre-rRNP
Q9Y237	PIN4	Parvulin-associated_pre-rRNP
