Q64343	Abcg1	negatome
Q7TMS5	Abcg2	negatome
Q9DBM0	Abcg8	negatome
P21836	Ache	negatome
Q9QZQ1	Afdn	negatome
A2ASQ1	Agrn	negatome
O08915	Aip	negatome
O08715	Akap1	negatome
P31750	Akt1	negatome
Q920R0	Als2	negatome
Q8VHG2	Amot	negatome
Q02357	Ank1	negatome
Q3UMR0	Ankrd27	negatome
Q6DQH2	Apbb2	negatome
P62331	Arf6	negatome
Q6Y5D8	Arhgap10	negatome
Q91YM2	Arhgap35	negatome
P53762	Arnt	negatome
Q9WTL8	Arntl	negatome
Q6NXK8	Asic1	negatome
O35625	Axin1	negatome
O08734	Bak1	negatome
Q07813	Bax	negatome
P21237	Bdnf	negatome
P25916	Bmi1	negatome
P21274	Bmp2	negatome
O55003	Bnip3	negatome
Q9ESU6	Brd4	negatome
Q7TSA3	Btla	negatome
O70355	Btnl2	negatome
P98086	C1qa	negatome
P28651	Ca8	negatome
P28652	Camk2b	negatome
Q8VHK1	Caskin2	negatome
Q08024	Cbfb	negatome
P30658	Cbx2	negatome
Q6PDY0	Ccdc85b	negatome
Q5SNZ0	Ccdc88a	negatome
P10855	Ccl3	negatome
P14097	Ccl4	negatome
P30882	Ccl5	negatome
Q9QWV9	Ccnt1	negatome
P51680	Ccr4	negatome
P31041	Cd28	negatome
P27512	Cd40	negatome
P27548	Cd40lg	negatome
P60766	Cdc42	negatome
P09803	Cdh1	negatome
Q03147	Cdk7	negatome
P46414	Cdkn1b	negatome
P53566	Cebpa	negatome
P28033	Cebpb	negatome
Q00322	Cebpd	negatome
Q03059	Chat	negatome
O08785	Clock	negatome
Q9JJZ9	Cngb3	negatome
Q01147	Creb1	negatome
P45481	Crebbp	negatome
P27699	Crem	negatome
P01587	Csf2	negatome
P26955	Csf2rb	negatome
P50462	Csrp3	negatome
P56546	Ctbp2	negatome
P09793	Ctla4	negatome
Q02248	Ctnnb1	negatome
Q9WTX6	Cul1	negatome
P98078	Dab2	negatome
P31786	Dbi	negatome
Q8VHZ5	Ddit4l	negatome
Q62108	Dlg4	negatome
Q09163	Dlk1	negatome
P97465	Dok1	negatome
Q99N11	Dusp22	negatome
P51141	Dvl1	negatome
Q61501	E2f1	negatome
Q8R0K9	E2f4	negatome
Q61502	E2f5	negatome
Q61508	Ecm1	negatome
P57776	Eef1d	negatome
Q8BPB5	Efemp1	negatome
Q9WVJ9	Efemp2	negatome
P01132	Egf	negatome
Q01279	Egfr	negatome
B2RWS6	Ep300	negatome
Q8BGS1	Epb41l5	negatome
Q03137	Epha4	negatome
P07321	Epo	negatome
P14753	Epor	negatome
P25446	Fas	negatome
P41047	Faslg	negatome
Q08879	Fbln1	negatome
P37889	Fbln2	negatome
Q9WVH9	Fbln5	negatome
P26151	Fcgr1	negatome
Q61559	Fcgrt	negatome
P15655	Fgf2	negatome
P54130	Fgf9	negatome
P16092	Fgfr1	negatome
P21803	Fgfr2	negatome
Q03142	Fgfr4	negatome
O70433	Fhl2	negatome
P35917	Flt4	negatome
P11276	Fn1	negatome
P70339	Frat1	negatome
Q8C180	Frs2	negatome
Q61584	Fxr1	negatome
Q9WVR4	Fxr2	negatome
Q9Z1S8	Gab2	negatome
P17679	Gata1	negatome
P48540	Gdnf	negatome
P03995	Gfap	negatome
Q9Z0G0	Gipc1	negatome
Q9JMB0	Gkap1	negatome
P27601	Gna13	negatome
P08752	Gnai2	negatome
Q6R0H7	Gnas	negatome
P62880	Gnb2	negatome
P63213	Gng2	negatome
O89100	Grap2	negatome
P23818	Gria1	negatome
Q9WV60	Gsk3b	negatome
Q8R4I4	Gtf2a1l	negatome
O88895	Hdac3	negatome
Q9Z2V6	Hdac5	negatome
Q8C2B3	Hdac7	negatome
Q6I6G8	Hecw2	negatome
Q62424	Hoxa13	negatome
P70217	Hoxd13	negatome
O08983	Hps1	negatome
Q99KG7	Hps4	negatome
P38532	Hsf1	negatome
Q05793	Hspg2	negatome
Q9WVS0	Icos	negatome
Q61635	Ifi47	negatome
P05017	Igf1	negatome
Q9QZ85	Iigp1	negatome
P01582	Il1a	negatome
Q61730	Il1rap	negatome
P04351	Il2	negatome
P01586	Il3	negatome
P04401	Il5	negatome
P21183	Il5ra	negatome
P15247	Il9	negatome
P15208	Insr	negatome
Q8K4N8	Irak1	negatome
P70671	Irf3	negatome
P70434	Irf7	negatome
P52332	Jak1	negatome
Q62120	Jak2	negatome
P05627	Jun	negatome
Q02257	Jup	negatome
P23299	Kcne1	negatome
Q9WTW2	Kcne3	negatome
P35918	Kdr	negatome
Q60749	Khdrbs1	negatome
P33175	Kif5a	negatome
Q61768	Kif5b	negatome
P28738	Kif5c	negatome
P70188	Kifap3	negatome
P05532	Kit	negatome
O08584	Klf6	negatome
Q6TDP3	Klhl17	negatome
P00756	Klk1b3	negatome
P00757	Klk1b4	negatome
Q61097	Ksr1	negatome
P11627	L1cam	negatome
P63006	Lhx1	negatome
P09056	Lif	negatome
Q91XD2	Lims2	negatome
Q8C129	Lnpep	negatome
Q8BFW7	Lpp	negatome
Q924X6	Lrp8	negatome
P09225	Lta	negatome
P41155	Ltb	negatome
P20917	Mag	negatome
Q9ESN9	Mapk8ip3	negatome
Q6PER3	Mapre3	negatome
Q03141	Mark3	negatome
P28574	Max	negatome
P97287	Mcl1	negatome
P25206	Mcm3	negatome
P49717	Mcm4	negatome
Q61881	Mcm7	negatome
P23804	Mdm2	negatome
Q924H2	Med15	negatome
Q80YQ2	Med23	negatome
Q9CQA5	Med4	negatome
Q9CZB6	Med7	negatome
Q9D7W5	Med8	negatome
Q60954	Meis1	negatome
P55002	Mfap2	negatome
Q9QZJ6	Mfap5	negatome
A2AM29	Mllt3	negatome
Q91V27	Mlph	negatome
Q3UPW8	Mlxip	negatome
Q61391	Mme	negatome
P50538	Mxd1	negatome
Q80US8	Mxd3	negatome
Q60948	Mxd4	negatome
P50540	Mxi1	negatome
P06876	Myb	negatome
Q7TPV4	Mybbp1a	negatome
P01108	Myc	negatome
P10166	Mycl	negatome
P03966	Mycn	negatome
Q99104	Myo5a	negatome
Q9JK37	Myoz1	negatome
P13595	Ncam1	negatome
Q60974	Ncor1	negatome
Q9WU42	Ncor2	negatome
Q9CZA6	Nde1	negatome
P08553	Nefm	negatome
O35657	Neu1	negatome
Q62414	Neurod2	negatome
P46662	Nf2	negatome
P01139	Ngf	negatome
P42586	Nkx2-2	negatome
P97503	Nkx3-2	negatome
Q99MA9	Nkx6-1	negatome
Q01705	Notch1	negatome
O35516	Notch2	negatome
Q61982	Notch3	negatome
P31695	Notch4	negatome
Q99J85	Nptxr	negatome
Q62227	Nr0b2	negatome
Q505F1	Nr2c1	negatome
P06537	Nr3c1	negatome
Q8CJ26	Nradd	negatome
Q8CBD1	Nrip1	negatome
Q9JHR9	Nrip2	negatome
Q8R4G0	Ntng1	negatome
Q9QXX8	Nufip1	negatome
Q61146	Ocln	negatome
Q9EQW6	Olig2	negatome
Q63912	Omg	negatome
Q61206	Pafah1b2	negatome
Q61205	Pafah1b3	negatome
Q8CIN4	Pak2	negatome
P11103	Parp1	negatome
Q2EMV9	Parp14	negatome
Q71VB4	Pbx1	negatome
O35984	Pbx2	negatome
O88689	Pcdha4	negatome
P17918	Pcna	negatome
P63239	Pcsk1	negatome
Q02242	Pdcd1	negatome
P26450	Pik3r1	negatome
Q66T02	Plekhg5	negatome
Q8CGN5	Plin1	negatome
Q07832	Plk1	negatome
Q60953	Pml	negatome
Q62009	Postn	negatome
P35396	Ppard	negatome
P37238	Pparg	negatome
P63330	Ppp2ca	negatome
Q76MZ3	Ppp2r1a	negatome
Q99K43	Prc1	negatome
Q5M9N9	Prdx2	negatome
P05132	Prkaca	negatome
P31324	Prkar2b	negatome
P16054	Prkce	negatome
P0C605	Prkg1	negatome
Q61410	Prkg2	negatome
Q9JIF0	Prmt1	negatome
P05143	Prp2	negatome
P15331	Prph	negatome
P15499	Prph2	negatome
P41593	Pth1r	negatome
Q9QVP9	Ptk2b	negatome
P29351	Ptpn6	negatome
Q62132	Ptprr	negatome
Q8K094	Pvr	negatome
P61027	Rab10	negatome
P62492	Rab11a	negatome
P35292	Rab17	negatome
P35293	Rab18	negatome
P62821	Rab1A	negatome
P35295	Rab20	negatome
P35285	Rab22a	negatome
P35288	Rab23	negatome
Q9WTL2	Rab25	negatome
Q9ERI2	Rab27a	negatome
Q99KL7	Rab28	negatome
P53994	Rab2a	negatome
Q64008	Rab34	negatome
Q9JKM7	Rab37	negatome
P63011	Rab3a	negatome
P56371	Rab4a	negatome
Q9CQD1	Rab5a	negatome
P35279	Rab6a	negatome
P51150	Rab7a	negatome
P55258	Rab8a	negatome
Q9R0M6	Rab9a	negatome
O35551	Rabep1	negatome
P63001	Rac1	negatome
Q9WTJ5	Ramp1	negatome
Q99JI6	Rap1b	negatome
Q922H7	Rasl11b	negatome
P13405	Rb1	negatome
Q60972	Rbbp4	negatome
Q64701	Rbl1	negatome
O08674	Rbpjl	negatome
Q8BP92	Rcn2	negatome
P15307	Rel	negatome
Q04207	Rela	negatome
Q04863	Relb	negatome
Q60841	Reln	negatome
P97428	Rgs16	negatome
Q78NN4	Rgs19	negatome
O08849	Rgs2	negatome
P61588	Rnd3	negatome
Q9D0C1	Rnf115	negatome
P70336	Rock2	negatome
P47708	Rph3a	negatome
P18653	Rps6ka1	negatome
Q8K0T0	Rtn1	negatome
O70622	Rtn2	negatome
Q9ES97	Rtn3	negatome
Q99P72	Rtn4	negatome
Q99PI8	Rtn4r	negatome
Q8K0S5	Rtn4rl1	negatome
Q7M6Z0	Rtn4rl2	negatome
P43407	Sdc2	negatome
O35988	Sdc4	negatome
P63300	Selenow	negatome
P42208	Septin2	negatome
O55131	Septin7	negatome
O88974	Setdb1	negatome
P97797	Sirpa	negatome
P53986	Slc16a1	negatome
P13808	Slc4a2	negatome
Q62432	Smad2	negatome
Q8BUN5	Smad3	negatome
P97471	Smad4	negatome
P97454	Smad5	negatome
O35182	Smad6	negatome
O35253	Smad7	negatome
O35717	Socs2	negatome
O35718	Socs3	negatome
Q62417	Sorbs1	negatome
O89090	Sp1	negatome
Q58A65	Spag9	negatome
Q9JM90	Stap1	negatome
P42225	Stat1	negatome
Q00262	Stx2	negatome
Q64704	Stx3	negatome
P70452	Stx4	negatome
Q8K1E0	Stx5	negatome
O08599	Stxbp1	negatome
Q548T0	Stxbp2	negatome
Q60770	Stxbp3	negatome
Q9D666	Sun1	negatome
Q99N80	Sytl1	negatome
Q99N50	Sytl2	negatome
Q99N48	Sytl3	negatome
Q549X6	Sytl4	negatome
Q9R0Q1	Sytl4	negatome
Q80T23	Sytl5	negatome
Q8CF89	Tab1	negatome
Q8R0L9	Tada3	negatome
P70323	Tbx1	negatome
P70371	Terf1	negatome
Q64092	Tfe3	negatome
P04202	Tgfb1	negatome
Q62219	Tgfb1i1	negatome
Q64729	Tgfbr1	negatome
Q62312	Tgfbr2	negatome
P21981	Tgm2	negatome
P39447	Tjp1	negatome
P26039	Tln1	negatome
B9EKI3	Tmf1	negatome
Q9D8D0	Tnfrsf13c	negatome
P50592	Tnfsf10	negatome
P43488	Tnfsf4	negatome
P32972	Tnfsf8	negatome
P41274	Tnfsf9	negatome
Q6PFX9	Tnks	negatome
Q3UES3	Tnks2	negatome
O88346	Tnnt1	negatome
P02340	Tp53	negatome
P39429	Traf2	negatome
P70196	Traf6	negatome
O55055	Trdmt1	negatome
Q9ERP3	Trim54	negatome
Q9QUQ5	Trpc4	negatome
Q9EP53	Tsc1	negatome
Q61037	Tsc2	negatome
P62500	Tsc22d1	negatome
P25976	Ubtf	negatome
Q8CGY6	Unc45b	negatome
Q8K1S4	Unc5a	negatome
Q8K1S3	Unc5b	negatome
O08747	Unc5c	negatome
Q00731	Vegfa	negatome
P97946	Vegfd	negatome
Q8BH43	Wasf2	negatome
P22561	Wt1	negatome
O70373	Xirp1	negatome
P62960	Ybx1	negatome
P62259	Ywhae	negatome
P68254	Ywhaq	negatome
P63101	Ywhaz	negatome
Q80X44	Zbtb24	negatome
Q8BN78	Zbtb33	negatome
P17141	Zfp37	negatome
Q62523	Zyx	negatome
